"","position","point_rate","steal_rate","block_rate","rebound_rate","foul_rate","race","matching_refs","time","team","opponent","majority_match"
"6684","G",17.4789915966387,1.34453781512605,0,4.03361344537815,5.3781512605042,"Black",0,29.75,"CON","LAS",0
"6685","F",27.972027972028,0,1.11888111888112,7.83216783216783,1.11888111888112,"Black",0,35.75,"CON","LAS",0
"6686","C",29.2445166531275,6.49878147847279,1.08313024641213,12.9975629569456,2.16626049282426,"Black",0,36.93,"CON","LAS",0
"6687","F",19.0880169671262,0,1.06044538706257,7.42311770943796,2.12089077412513,"Black",0,37.72,"LAS","CON",0
"6688","G",18.4266477675408,1.41743444365698,0,1.41743444365698,7.08717221828491,"Black",0,28.22,"LAS","CON",0
"6689","G",6.11620795107034,0,3.05810397553517,3.05810397553517,15.2905198776758,"Black",0,13.08,"LAS","CON",0
"6690","C",21.3206988451288,0,1.18448326917382,13.0293159609121,5.92241634586911,"Black",0,33.77,"LAS","CON",0
"6691","F",15.5548908166318,1.19653006281783,1.19653006281783,2.39306012563566,0,"Black",0,33.43,"LAS","CON",0
"6692","G",13.3779264214047,0,0,6.68896321070234,0,"Black",0,5.98,"LAS","CON",0
"6693","G",0,2.90486564996369,0,0,0,"Black",0,13.77,"LAS","CON",0
